IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.98.174,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,140,7.77
158.101.148.221,80,80,FALSE,HKG,Asia Pacific,Hong Kong,186,7.77
131.186.40.31,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,141,7.76
158.101.149.81,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,247,7.76
158.101.150.126,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,141,7.76
131.186.63.127,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,137,7.75
132.145.114.14,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,143,7.75
141.147.181.148,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,147,7.75
140.238.60.71,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,74,7.74
151.145.66.219,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,158,7.74
131.186.40.31,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,160,7.74
130.61.203.115,8443,443,TRUE,FRA,Europe,Frankfurt,210,7.74
150.230.97.239,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,142,7.72
131.186.63.35,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,189,7.72
141.147.95.205,443,443,TRUE,FRA,Europe,Frankfurt,208,7.71
140.238.51.184,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,127,7.7
132.145.121.242,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,135,7.7
152.70.103.145,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,141,7.7
131.186.41.255,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,206,7.7
168.138.197.222,8080,8080,FALSE,SIN,Asia Pacific,Singapore,197,7.69
131.186.46.75,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,128,7.68
