IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.111.147,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,11.32
8.219.110.88,2083,2083,TRUE,SIN,Asia Pacific,Singapore,52,11.32
8.219.0.162,8080,8080,FALSE,SIN,Asia Pacific,Singapore,13,11.32
47.236.172.95,2052,2052,FALSE,SIN,Asia Pacific,Singapore,56,11.32
47.74.13.94,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,184,11.31
8.219.238.145,2052,2052,FALSE,SIN,Asia Pacific,Singapore,12,11.31
47.236.147.146,2086,2086,FALSE,SIN,Asia Pacific,Singapore,13,11.31
8.219.170.232,2087,2087,TRUE,SIN,Asia Pacific,Singapore,86,11.31
8.222.224.163,2052,2052,FALSE,SIN,Asia Pacific,Singapore,17,11.31
47.236.172.95,2053,2053,TRUE,SIN,Asia Pacific,Singapore,61,11.3
8.222.214.13,2095,2095,FALSE,SIN,Asia Pacific,Singapore,4,11.3
8.219.1.92,2082,2082,FALSE,SIN,Asia Pacific,Singapore,5,11.3
8.219.233.6,8880,8880,FALSE,SIN,Asia Pacific,Singapore,16,11.3
8.219.60.130,2052,2052,FALSE,SIN,Asia Pacific,Singapore,5,11.3
8.222.147.203,2053,2053,TRUE,SIN,Asia Pacific,Singapore,91,11.3
47.74.13.94,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,144,11.3
47.245.118.70,2053,2053,TRUE,SIN,Asia Pacific,Singapore,134,11.3
47.74.44.15,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,185,11.29
8.219.194.170,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,11.29
47.74.26.196,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,192,11.29
8.219.121.24,2082,2082,FALSE,SIN,Asia Pacific,Singapore,21,11.29
8.222.213.221,2095,2095,FALSE,SIN,Asia Pacific,Singapore,4,11.29
8.219.228.186,443,443,TRUE,SIN,Asia Pacific,Singapore,95,11.29
47.236.11.84,80,80,FALSE,SIN,Asia Pacific,Singapore,12,11.29
8.219.198.34,8080,8080,FALSE,SIN,Asia Pacific,Singapore,20,11.28
8.222.221.90,2052,2052,FALSE,SIN,Asia Pacific,Singapore,4,11.28
8.219.170.223,8880,8880,FALSE,SIN,Asia Pacific,Singapore,5,11.28
47.91.21.107,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,198,11.28
47.74.34.38,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,85,11.28
8.222.212.172,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,11.28
8.222.222.64,443,443,TRUE,SIN,Asia Pacific,Singapore,49,11.27
8.219.154.107,2096,2096,TRUE,SIN,Asia Pacific,Singapore,122,11.27
8.219.157.97,2087,2087,TRUE,SIN,Asia Pacific,Singapore,80,11.27
8.219.134.63,8443,8443,TRUE,SIN,Asia Pacific,Singapore,80,11.27
8.219.75.44,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,11.27
8.219.99.8,2087,2087,TRUE,SIN,Asia Pacific,Singapore,53,11.27
8.219.237.250,8443,8443,TRUE,SIN,Asia Pacific,Singapore,84,11.27
8.219.202.130,2087,2087,TRUE,SIN,Asia Pacific,Singapore,103,11.26
8.222.229.22,80,80,FALSE,SIN,Asia Pacific,Singapore,14,11.26
47.236.166.84,2052,2052,FALSE,SIN,Asia Pacific,Singapore,12,11.25
8.219.74.35,80,0,FALSE,SIN,Asia Pacific,Singapore,5,11.25
47.245.105.224,2052,2052,FALSE,SIN,Asia Pacific,Singapore,6,11.25
8.219.1.92,2096,2096,TRUE,SIN,Asia Pacific,Singapore,39,11.25
8.222.212.172,2082,2082,FALSE,SIN,Asia Pacific,Singapore,13,11.25
8.219.240.160,2095,2095,FALSE,SIN,Asia Pacific,Singapore,4,11.24
47.242.234.127,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,50,11.24
8.218.143.10,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,91,11.24
8.219.197.111,8443,8443,TRUE,SIN,Asia Pacific,Singapore,174,11.24
8.219.222.8,2095,2095,FALSE,SIN,Asia Pacific,Singapore,23,11.24
8.222.193.208,443,443,TRUE,SIN,Asia Pacific,Singapore,94,11.23
8.219.174.142,443,443,TRUE,SIN,Asia Pacific,Singapore,91,11.23
8.222.212.172,2087,2087,TRUE,SIN,Asia Pacific,Singapore,49,11.23
8.219.173.233,2053,2053,TRUE,SIN,Asia Pacific,Singapore,129,11.22
8.219.101.138,2082,2082,FALSE,SIN,Asia Pacific,Singapore,14,11.22
8.218.243.95,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,97,11.22
47.74.42.17,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,167,11.22
8.219.43.243,2083,2083,TRUE,SIN,Asia Pacific,Singapore,53,11.22
8.219.208.69,2087,2087,TRUE,SIN,Asia Pacific,Singapore,112,11.22
8.219.196.117,8880,8880,FALSE,SIN,Asia Pacific,Singapore,41,11.22
8.218.143.10,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,71,11.22
8.219.113.27,2053,2053,TRUE,SIN,Asia Pacific,Singapore,145,11.22
47.88.101.9,443,443,TRUE,SJC,North America,San Jose,180,11.21
8.222.213.221,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,11.21
8.219.104.242,8080,8080,FALSE,SIN,Asia Pacific,Singapore,10,11.21
8.222.253.235,80,80,FALSE,SIN,Asia Pacific,Singapore,12,11.2
47.245.55.94,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,242,11.2
47.236.145.180,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,11.2
8.219.236.8,8443,8443,TRUE,SIN,Asia Pacific,Singapore,138,11.2
8.218.136.25,80,80,FALSE,HKG,Asia Pacific,Hong Kong,42,11.2
47.91.15.247,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,163,11.2
8.219.67.133,2083,2083,TRUE,SIN,Asia Pacific,Singapore,92,11.19
8.219.202.130,2082,2082,FALSE,SIN,Asia Pacific,Singapore,13,11.19
8.219.196.24,2087,2087,TRUE,SIN,Asia Pacific,Singapore,77,11.19
8.219.93.85,2087,0,TRUE,SIN,Asia Pacific,Singapore,3,11.19
8.219.103.65,80,80,FALSE,SIN,Asia Pacific,Singapore,52,11.19
47.74.26.132,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,169,11.19
47.236.172.71,2095,2095,FALSE,SIN,Asia Pacific,Singapore,65,11.19
8.219.90.87,8443,8443,TRUE,SIN,Asia Pacific,Singapore,101,11.19
8.219.195.47,2053,2053,TRUE,SIN,Asia Pacific,Singapore,100,11.18
47.245.10.156,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,170,11.18
8.218.201.73,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,111,11.18
47.243.173.187,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,110,11.18
8.222.193.65,2082,2082,FALSE,SIN,Asia Pacific,Singapore,6,11.18
8.222.229.22,80,80,FALSE,SIN,Asia Pacific,Singapore,6,11.18
8.219.74.35,2052,2052,FALSE,SIN,Asia Pacific,Singapore,35,11.18
47.74.27.151,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,202,11.18
47.245.14.216,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,172,11.17
47.245.114.163,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,11.17
8.219.5.10,443,443,TRUE,SIN,Asia Pacific,Singapore,83,11.17
8.219.172.128,2053,2053,TRUE,SIN,Asia Pacific,Singapore,118,11.16
8.222.212.172,2083,2083,TRUE,SIN,Asia Pacific,Singapore,88,11.16
8.219.250.239,2095,2095,FALSE,SIN,Asia Pacific,Singapore,19,11.16
47.236.174.206,2095,2095,FALSE,SIN,Asia Pacific,Singapore,15,11.16
47.91.18.207,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,134,11.16
8.219.233.6,2087,2087,TRUE,SIN,Asia Pacific,Singapore,137,11.16
47.74.52.188,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,166,11.16
47.236.161.155,2082,2082,FALSE,SIN,Asia Pacific,Singapore,16,11.15
8.222.222.64,443,443,TRUE,SIN,Asia Pacific,Singapore,110,11.15
8.222.202.163,2052,2052,FALSE,SIN,Asia Pacific,Singapore,21,11.15
8.219.40.37,2087,2087,TRUE,SIN,Asia Pacific,Singapore,121,11.15
8.219.228.193,8443,8443,TRUE,SIN,Asia Pacific,Singapore,88,11.15
8.222.255.15,8443,8443,TRUE,SIN,Asia Pacific,Singapore,43,11.15
8.219.70.117,2095,2095,FALSE,SIN,Asia Pacific,Singapore,31,11.15
8.222.224.17,2053,2053,TRUE,SIN,Asia Pacific,Singapore,51,11.15
8.219.156.148,443,443,TRUE,SIN,Asia Pacific,Singapore,115,11.15
47.74.40.13,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,176,11.15
8.219.55.31,8080,8080,FALSE,SIN,Asia Pacific,Singapore,78,11.15
8.219.222.98,8443,8443,TRUE,SIN,Asia Pacific,Singapore,93,11.14
47.236.184.14,2087,2087,TRUE,SIN,Asia Pacific,Singapore,102,11.14
8.222.188.56,2052,2052,FALSE,SIN,Asia Pacific,Singapore,5,11.14
47.74.50.249,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,265,11.14
8.222.131.102,8443,8443,TRUE,SIN,Asia Pacific,Singapore,188,11.14
47.74.49.62,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,165,11.14
47.74.4.47,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,222,11.13
47.245.118.70,2082,2082,FALSE,SIN,Asia Pacific,Singapore,10,11.13
8.219.196.117,2082,2082,FALSE,SIN,Asia Pacific,Singapore,36,11.13
8.222.188.56,8880,8880,FALSE,SIN,Asia Pacific,Singapore,11,11.13
47.236.167.231,2052,2052,FALSE,SIN,Asia Pacific,Singapore,30,11.13
8.219.201.174,8080,8080,FALSE,SIN,Asia Pacific,Singapore,25,11.13
8.222.147.203,2086,2086,FALSE,SIN,Asia Pacific,Singapore,23,11.13
47.74.9.174,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,220,11.12
47.74.34.73,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,82,11.12
47.74.37.50,8080,8080,FALSE,SIN,Asia Pacific,Singapore,161,11.12
8.222.223.34,8880,8880,FALSE,SIN,Asia Pacific,Singapore,14,11.11
47.236.161.155,8443,8443,TRUE,SIN,Asia Pacific,Singapore,101,11.11
47.74.27.211,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,205,11.11
8.219.163.195,2095,2095,FALSE,SIN,Asia Pacific,Singapore,33,11.11
8.222.221.90,2053,2053,TRUE,SIN,Asia Pacific,Singapore,27,11.11
8.222.160.61,2082,2082,FALSE,SIN,Asia Pacific,Singapore,14,11.1
8.219.248.47,8443,8443,TRUE,SIN,Asia Pacific,Singapore,62,11.1
8.219.236.8,2086,2086,FALSE,SIN,Asia Pacific,Singapore,147,11.1
47.236.148.174,2053,2053,TRUE,SIN,Asia Pacific,Singapore,112,11.1
8.219.3.53,443,443,TRUE,SIN,Asia Pacific,Singapore,126,11.1
8.219.113.232,2095,2095,FALSE,SIN,Asia Pacific,Singapore,39,11.1
47.236.170.54,2096,2096,TRUE,SIN,Asia Pacific,Singapore,60,11.09
47.74.43.24,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,171,11.09
8.219.114.201,2052,2052,FALSE,SIN,Asia Pacific,Singapore,22,11.09
8.219.193.22,8880,8880,FALSE,SIN,Asia Pacific,Singapore,12,11.09
8.219.12.152,2053,2053,TRUE,SIN,Asia Pacific,Singapore,64,11.09
8.219.121.24,2082,0,FALSE,SIN,Asia Pacific,Singapore,5,11.09
8.219.43.243,8443,8443,TRUE,SIN,Asia Pacific,Singapore,163,11.09
47.74.54.33,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,71,11.09
47.245.107.174,2096,2096,TRUE,SIN,Asia Pacific,Singapore,5,11.09
47.74.3.2,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,74,11.08
8.219.84.102,443,443,TRUE,SIN,Asia Pacific,Singapore,83,11.08
8.218.126.53,2052,0,FALSE,HKG,Asia Pacific,Hong Kong,44,11.08
8.222.164.44,2096,2096,TRUE,SIN,Asia Pacific,Singapore,136,11.08
47.236.169.141,2086,2086,FALSE,SIN,Asia Pacific,Singapore,457,11.08
8.219.103.65,2053,2053,TRUE,SIN,Asia Pacific,Singapore,89,11.07
47.236.150.109,80,80,FALSE,SIN,Asia Pacific,Singapore,23,11.07
47.236.121.7,8880,8880,FALSE,SIN,Asia Pacific,Singapore,20,11.07
47.88.101.9,80,443,TRUE,SJC,North America,San Jose,172,11.07
8.219.51.211,8443,8443,TRUE,SIN,Asia Pacific,Singapore,74,11.07
47.74.42.111,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,134,11.06
8.222.150.197,8443,8443,TRUE,SIN,Asia Pacific,Singapore,114,11.06
47.236.163.221,2086,2086,FALSE,SIN,Asia Pacific,Singapore,66,11.06
8.219.112.75,8080,8080,FALSE,SIN,Asia Pacific,Singapore,13,11.06
8.219.184.92,2082,2082,FALSE,SIN,Asia Pacific,Singapore,37,11.06
8.219.139.13,80,80,FALSE,SIN,Asia Pacific,Singapore,9,11.06
8.222.175.78,80,80,FALSE,SIN,Asia Pacific,Singapore,9,11.06
47.74.40.13,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,166,11.06
8.219.228.30,2096,2096,TRUE,SIN,Asia Pacific,Singapore,113,11.06
8.219.196.24,2052,2052,FALSE,SIN,Asia Pacific,Singapore,12,11.05
8.222.190.225,2086,2086,FALSE,SIN,Asia Pacific,Singapore,26,11.05
47.74.0.183,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,172,11.05
8.219.13.143,443,443,TRUE,SIN,Asia Pacific,Singapore,39,11.05
47.74.4.47,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,73,11.05
8.222.221.197,2053,2053,TRUE,SIN,Asia Pacific,Singapore,99,11.05
8.219.251.81,8443,8443,TRUE,SIN,Asia Pacific,Singapore,70,11.05
47.236.4.129,2095,2095,FALSE,SIN,Asia Pacific,Singapore,22,11.05
8.222.184.198,8443,8443,TRUE,SIN,Asia Pacific,Singapore,105,11.05
47.74.44.15,2082,2082,FALSE,SIN,Asia Pacific,Singapore,161,11.05
8.222.211.16,8443,8443,TRUE,SIN,Asia Pacific,Singapore,51,11.05
47.74.16.255,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,76,11.04
8.219.103.65,2086,2086,FALSE,SIN,Asia Pacific,Singapore,13,11.04
8.222.222.64,8880,8880,FALSE,SIN,Asia Pacific,Singapore,10,11.04
47.74.54.145,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,119,11.04
8.222.187.4,2095,2095,FALSE,SIN,Asia Pacific,Singapore,5,11.04
8.222.244.123,8880,8880,FALSE,SIN,Asia Pacific,Singapore,5,11.04
8.219.93.5,2083,2083,TRUE,SIN,Asia Pacific,Singapore,74,11.04
8.222.227.191,2082,2082,FALSE,SIN,Asia Pacific,Singapore,8,11.04
8.219.115.215,8080,8080,FALSE,SIN,Asia Pacific,Singapore,6,11.03
8.222.244.123,2096,2096,TRUE,SIN,Asia Pacific,Singapore,100,11.03
47.74.27.211,80,80,FALSE,HKG,Asia Pacific,Hong Kong,171,11.03
8.219.179.34,2083,2083,TRUE,SIN,Asia Pacific,Singapore,137,11.03
8.222.129.32,8443,8443,TRUE,SIN,Asia Pacific,Singapore,84,11.02
8.222.198.105,2096,2096,TRUE,SIN,Asia Pacific,Singapore,59,11.02
8.222.212.172,2082,2082,FALSE,SIN,Asia Pacific,Singapore,40,11.02
8.219.237.250,2053,2053,TRUE,SIN,Asia Pacific,Singapore,114,11.02
8.219.172.128,2083,2083,TRUE,SIN,Asia Pacific,Singapore,86,11.02
8.219.79.74,2083,2083,TRUE,SIN,Asia Pacific,Singapore,98,11.02
8.219.202.130,2053,2053,TRUE,SIN,Asia Pacific,Singapore,137,11.01
47.91.14.69,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,165,11.01
8.219.107.135,2096,2096,TRUE,SIN,Asia Pacific,Singapore,8,11.01
47.245.114.163,80,80,FALSE,SIN,Asia Pacific,Singapore,9,11
8.219.204.120,8080,8080,FALSE,SIN,Asia Pacific,Singapore,23,11
8.222.211.16,80,80,FALSE,SIN,Asia Pacific,Singapore,7,11
8.219.233.6,2052,2052,FALSE,SIN,Asia Pacific,Singapore,10,10.99
8.219.145.245,2086,2086,FALSE,SIN,Asia Pacific,Singapore,3,10.99
47.91.3.87,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,86,10.99
47.236.165.25,2052,2052,FALSE,SIN,Asia Pacific,Singapore,5,10.98
47.74.5.99,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,136,10.98
47.236.184.14,8880,8880,FALSE,SIN,Asia Pacific,Singapore,20,10.98
47.74.9.174,2096,2096,TRUE,SIN,Asia Pacific,Singapore,173,10.97
47.236.148.174,2086,2086,FALSE,SIN,Asia Pacific,Singapore,37,10.96
8.219.107.135,2095,2095,FALSE,SIN,Asia Pacific,Singapore,32,10.96
8.222.212.219,2083,2083,TRUE,SIN,Asia Pacific,Singapore,107,10.96
8.222.238.141,2095,2095,FALSE,SIN,Asia Pacific,Singapore,19,10.96
47.74.5.233,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,173,10.96
47.245.59.188,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,95,10.96
8.222.159.252,8443,8443,TRUE,SIN,Asia Pacific,Singapore,81,10.95
8.219.154.107,8443,8443,TRUE,SIN,Asia Pacific,Singapore,80,10.95
8.219.60.68,8080,8080,FALSE,SIN,Asia Pacific,Singapore,35,10.95
47.91.10.241,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,158,10.95
8.219.78.222,8443,8443,TRUE,SIN,Asia Pacific,Singapore,79,10.95
8.222.187.4,2082,2082,FALSE,SIN,Asia Pacific,Singapore,18,10.95
8.222.212.116,2086,2086,FALSE,SIN,Asia Pacific,Singapore,11,10.95
47.236.169.236,8080,8080,FALSE,SIN,Asia Pacific,Singapore,17,10.95
8.219.5.10,2053,2053,TRUE,SIN,Asia Pacific,Singapore,71,10.95
8.219.191.40,2053,2053,TRUE,SIN,Asia Pacific,Singapore,215,10.94
8.219.238.145,8443,8443,TRUE,SIN,Asia Pacific,Singapore,136,10.94
47.236.167.231,8080,8080,FALSE,SIN,Asia Pacific,Singapore,90,10.94
8.218.18.235,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,73,10.94
8.219.178.9,2087,2087,TRUE,SIN,Asia Pacific,Singapore,77,10.94
8.218.243.95,80,80,FALSE,HKG,Asia Pacific,Hong Kong,47,10.94
47.74.12.139,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,223,10.93
8.219.167.65,2086,2086,FALSE,SIN,Asia Pacific,Singapore,24,10.93
